station,lat,lon,temp
Białystok,53.127505,23.1470509,-3.0
Bielsko Biała,49.822118,19.0448936,2.2
Chojnice,53.6999165,17.5703441,-0.3
Częstochowa,50.8120466,19.113213,2.6
Elbląg,54.1558708,19.4044583,-1.0
Gdańsk,54.4288032,18.7983259,0.9
Gorzów,51.0281551,18.4222682,2.5
Hel,54.6066432,18.8027076,0.9
Jelenia Góra,50.9031028,15.7344306,1.6
Kalisz,51.747365,18.0795901,1.9
Katowice,50.2598987,19.0215852,1.8
Kętrzyn,54.0819763,21.3768281,-2.1
Kielce,50.8540359,20.6099144,2.2
Kłodzko,50.4337118,16.6422465,2.1
Koło,52.2019866,18.6359912,2.3
Kołobrzeg,54.1762116,15.5764037,2.6
Koszalin,54.19092,16.17707,1.2
Kozienice,51.5849678,21.549883,1.5
Kraków,50.0619474,19.9368564,1.9
Krosno,49.6889843,21.7534788,1.8
Legnica,51.2047689,16.174675,4.8
Lesko,49.4689014,22.3303816,1.3
Leszno,51.8436068,16.5804218,3.5
Lębork,54.5324454,17.7443951,-0.5
Lublin,51.250559,22.5701022,0.8
Łeba,54.7604388,17.5313769,1.0
Łódź,51.7728066,19.478495,1.2
Mikołajki,53.7981816,21.5772462,-2.4
Mława,53.1341915,20.362883,-1.0
Nowy Sącz,49.610304,20.7149366,3.1
Olsztyn,53.7767239,20.4777805,-1.7
Opole,50.6787929,17.9298844,3.9
Ostrołęka,53.078032,21.5748686,-1.9
Piła,53.1511324,16.7380343,1.6
Platforma,52.2738086,21.0302359,1.6
Płock,52.5464521,19.7008606,0.3
Poznań,52.4006632,16.9197326,0.8
Przemyśl,49.7835552,22.7885113,1.8
Racibórz,50.0905252,18.2151495,2.0
Resko,53.7733969,15.4056058,1.3
Rzeszów,50.0374531,22.0047174,1.5
Sandomierz,50.6984109,21.7497917,2.0
Siedlce,52.1615938,22.2812533,-0.9
Słubice,52.3557481,14.5662367,3.3
Sulejów,51.3549202,19.8890802,0.9
Suwałki,54.1027125,22.9318782,-3.1
Szczecin,53.4301818,14.5509623,2.9
Szczecinek,53.702342,16.7071342,-0.1
Świnoujście,53.9097477,14.2510703,2.7
Tarnów,50.0259883,20.9640584,2.7
Terespol,52.0765155,23.6222336,-0.3
Toruń,53.0102721,18.6048094,1.4
Ustka,54.5734467,16.8591806,2.0
Warszawa,52.2319581,21.0067249,0.2
Wieluń,51.2205345,18.5701081,2.2
Włodawa,51.541278,23.5290368,0.9
Wrocław,51.1089776,17.0326689,4.6
Zakopane,49.2969446,19.950659,-1.4
Zamość,50.721273,23.2595887,1.4
Zielona Góra,51.9383777,15.5050408,4.0
